Year;Make-model-year-fuel;Make;Model;Variant;Size segment;Fuel-size segment;No. of registrations;Shares;Prices (2015-DKK);Ownership cost (DKK);Weight (kg);Fuel;Engine effect (kW);Horsepower;Size (m3);Footprint (m�);Cost/km (DKK);fuelPrice (DKK/unit)
2006;ford-galaxy-2006-Diesel;ford;galaxy;2,0 TDCI;Large;DieselLarge;194;7.71E-05;6051401869,00;5.714.076.752;2505;Diesel;96;130;1.533.724;8.917;0.65974026;10.16
2006;skoda-roomster-2006-Benzin;skoda;roomster;1,6;Small;BenzinSmall;193;7.67E-05;2488329439,00;2.274.231.905;1670;Benzin;77;82.75;11.387.208;70.644;0.769387755;11.31
2006;subaru-forester-2006-Benzin;subaru;forester;2,5 AWD AUT.;Large;BenzinLarge;164;6.52E-05;4014240654,00;3.016.305.101;2000;Benzin;169;206;12.394.368;77.952;111.980.198;11.31
2006;opel-meriva-2006-Diesel;opel;meriva;1,3 CDTI;Small;DieselSmall;163;6.48E-05;2793983645,00;2.262.712.655;1935;Diesel;55;9.333.333.333;1.111.539.289;6.833.233.333;0.529166667;10.16
2006;ford-fusion-2006-Diesel;ford;fusion;1,6 TDCI;Small;DieselSmall;160;6.36E-05;2394848131,00;2.278.326.592;1650;Diesel;50;90;10.621.688;68.972;0.457657658;10.16
2006;fiat-punto-2006-Diesel;fiat;punto;1,3 JTD;Small;DieselSmall;156;6.20E-05;1502873832,00;1.369.284.225;1665;Diesel;96;6.388.888.889;9.461.409.778;6.392.844.444;0.457657658;10.16
2006;renault-megane-2006-Diesel;renault;megane;1,5 DCI;Small;DieselSmall;152;6.04E-05;2651869159,00;2.334.972.693;1850;Diesel;60;120;1.113.829.067;7.843.866.667;0.476995305;10.16
2006;bmw-3-serie-2006-Benzin;bmw;3-serie;330I COUPE AUT;Large;BenzinLarge;845;0.000335699;5128434579,00;4.580.313.694;1875;Benzin;110;129;11.846.016;82.264;0.825547445;11.31
2006;ford-fiesta-2006-Diesel;ford;fiesta;1,6 TDCI;Small;DieselSmall;142;5.64E-05;1517511682,00;1.453.051.796;1625;Diesel;66;8.333.333.333;9.529.307.062;6.607.377.778;0.447577093;10.16
2006;fiat-dobl-2006-Benzin;fiat;dobl;1,4;Small;BenzinSmall;139;5.52E-05;1994334112,00;1.804.151.812;1830;Benzin;57;77;12.946.752;71.136;0.837777778;11.31
2006;mazda-6-2006-Diesel;mazda;6;2,0 D STATIONSCAR;Small;DieselSmall;121;4.81E-05;3271028037,00;2.414.121.495;2000;Diesel;105;147;12.021.408;83.482;0.608383234;10.16
2006;mitsubishi-outlander-2006-Benzin;mitsubishi;outlander;2;Large;BenzinLarge;115;4.57E-05;3691004673,00;3.141.467.012;2075;Benzin;100;136;128.709;7.945;1.077.142.857;11.31
2006;toyota-rav4-2006-Diesel;toyota;rav4;2,2 D - 4D MPV;Large;DieselLarge;106;4.21E-05;5893703271,00;5.090.471.175;2190;Diesel;100;136;1.377.376;8.008;0.668421053;10.16
2006;toyota-rav4-2006-Benzin;toyota;rav4;2,0 MPV;Large;BenzinLarge;105;4.17E-05;5893703271,00;5.071.271.175;2110;Benzin;112;136;1.377.376;8.008;1.018.918.919;11.31
2006;audi-a8-2006-Diesel;audi;a8;3,0 TDI;Large;DieselLarge;98;3.89E-05;2213635514,00;1.984.778.533;2595;Diesel;0;296;1.494.917.667;101.465;0.958490566;10.16
2006;nissan-micra-2006-Diesel;nissan;micra;1,5 DCI 5-DØRS;Small;DieselSmall;92;3.65E-05;1656296729,00;1.501.106.713;1500;Diesel;48;65;9.509.808;61.752;0.468202765;10.16
2006;mazda-3-2006-Diesel;mazda;3;1,6 DIESEL HATCHBACK;Small;DieselSmall;87;3.46E-05;2566320093,00;1.884.709.188;1775;Diesel;80;132;1.148.126.144;785.312;0.508;10.16
2006;audi-tt-2006-Benzin;audi;tt;2,0 TFSI;Small;BenzinSmall;83;3.30E-05;9431016355,00;8.438.033.853;1660;Benzin;147;250;1.038.312;76.912;0.87;11.31
2006;ford-galaxy-2006-Benzin;ford;galaxy;2;Large;BenzinLarge;82;3.26E-05;6051401869,00;5.679.876.752;2415;Benzin;107;130;1.533.724;8.917;0.92704918;11.31
2006;seat-ibiza-2006-Diesel;seat;ibiza;1,4 TDI;Small;DieselSmall;81;3.22E-05;1682126168,00;1.523.299.625;1620;Diesel;96;80;96.696;6.715;0.476995305;10.16
2006;audi-s6-2006-Benzin;audi;s6;5,2 AVANT AUT.;Large;BenzinLarge;78;3.10E-05;1857473131,00;1.669.661.465;2600;Benzin;320;435;1.326.924;91.512;1.508;11.31
2006;bmw-5-serie-2006-Diesel;bmw;5-serie;535D TOURING AUT;Small;DieselSmall;744;0.000295574;9059813084,00;8.066.458.663;2050;Diesel;140;0;1.334.146;8.954;0.601183432;10.16
2006;seat-toledo-2006-Benzin;seat;toledo;1,6;Large;BenzinLarge;62;2.46E-05;4618633178,00;4.073.375.813;1950;Benzin;75;140;11.124.864;77.256;0.87;11.31
2006;kia-carens-2006-Benzin;kia;carens;2,0 AUT.;Small;BenzinSmall;57;2.26E-05;2911133178,00;2.480.164.449;1825;Benzin;102;113;12.650.575;78.575;0.87;11.31
2006;audi-s8-2006-Benzin;audi;s8;UOPLYST;Large;BenzinLarge;54;2.15E-05;2452213785,00;2.195.160.926;2540;Benzin;331;450;13.580.028;95.634;1.508;11.31
2006;bmw-x3-2006-Benzin;bmw;x3;2,5 I;Large;BenzinLarge;43;1.71E-05;1005734813,00;9.029.755.707;2275;Benzin;200;218;14.119.015;84.545;1.285.227.273;11.31
2006;audi-a8-2006-Benzin;audi;a8;4,2;Large;BenzinLarge;42;1.67E-05;2213635514,00;1.975.358.533;2400;Benzin;246;296;1.494.917.667;101.465;1.229.347.826;11.31
2006;nissan-note-2006-Diesel;nissan;note;1,5 DCI;Small;DieselSmall;40;1.59E-05;2445116822,00;2.197.468.825;1610;Diesel;50;110;1.068.756;68.952;0.518367347;10.16
